model,tf,method,faithfulness_to_ISM,stability,localization_at10,n_seqs
expert_GABPA,GABPA,vanilla_corr,0.8067037856726849,0.945375888177053,0.644,50
expert_GABPA,GABPA,smoothgrad,0.7077381479324402,0.9203051834595222,0.6100000000000001,50
expert_GABPA,GABPA,smoothgrad_corr,0.7968789749563192,0.9178958648806055,0.6639999999999999,50
expert_GABPA,GABPA,shiftsmooth,0.7017630751310425,0.9555939429237041,0.5900000000000001,50
expert_GABPA,GABPA,shiftsmooth_corr,0.8022588235294117,0.9551312754804893,0.6560000000000001,50
expert_GABPA,GABPA,gradxinp,0.7022567268491555,0.9458222481071636,0.5880000000000001,50
MoE,GABPA,vanilla,0.7314511357018055,0.9445225393127546,0.49200000000000005,50
MoE,GABPA,vanilla_corr,0.7458073383808969,0.9428794408852649,0.516,50
MoE,GABPA,smoothgrad,0.7815245195107745,0.9177563191613278,0.54,50
MoE,GABPA,smoothgrad_corr,0.7628577751892835,0.9184945835760046,0.5339999999999999,50
MoE,GABPA,shiftsmooth,0.7370394874781596,0.9630299359347699,0.494,50
MoE,GABPA,shiftsmooth_corr,0.7471958066394875,0.9624559114735001,0.514,50
MoE,GABPA,gradxinp,0.7314511357018055,0.9445225393127546,0.49200000000000005,50
expert_SP1,SP1,vanilla,0.7348617355853232,0.9515620267909144,0.4779999999999999,50
expert_SP1,SP1,vanilla_corr,0.7737838089691321,0.9552521840419336,0.45,50
expert_SP1,SP1,smoothgrad,0.7693476994758299,0.9096577751892836,0.51,50
expert_SP1,SP1,smoothgrad_corr,0.794771345369831,0.9134958648806056,0.53,50
expert_SP1,SP1,shiftsmooth,0.7391333721607454,0.9600328479906814,0.486,50
expert_SP1,SP1,shiftsmooth_corr,0.7766907396622016,0.9645183459522423,0.46399999999999997,50
expert_SP1,SP1,gradxinp,0.7348617355853232,0.9515620267909144,0.4779999999999999,50
MoE,SP1,vanilla,0.7571336051252182,0.9660295864880604,0.512,50
MoE,SP1,vanilla_corr,0.7570991263832265,0.9672603377984856,0.524,50
MoE,SP1,smoothgrad,0.7825467676179383,0.9260386721025042,0.542,50
MoE,SP1,smoothgrad_corr,0.7671196272568435,0.9289560861968548,0.524,50
MoE,SP1,shiftsmooth,0.7586453115899825,0.9684603377984857,0.512,50
MoE,SP1,shiftsmooth_corr,0.7558133954571927,0.9698385556202679,0.518,50
MoE,SP1,gradxinp,0.7571336051252182,0.9660295864880604,0.512,50
