model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
static_mean,out_of_distribution,ETS1,0.787236,0.7870697394844758,0.7582649776947818,0.816929277127552,0.7688901124939326,0.7949526813880127,0.0038658014634819823
best_single,out_of_distribution,ETS1,0.7950920000000001,0.79483770160626,0.7670866436721946,0.8247875063867427,0.7926570078587564,0.8456375838926175,0.005453837164004674
DNABERT,out_of_distribution,ETS1,0.8029279999999999,0.8027085254389715,0.7758821518640352,0.831438624581757,0.7764043566524383,0.8038585209003215,0.004085701678406249
HetMoE,out_of_distribution,SPI1,0.869316,0.8685172046809494,0.8461358133386249,0.8879809591703467,0.8708906892976677,0.8865248226950354,0.007759637469737413
static_mean,out_of_distribution,SPI1,0.804632,0.8039230913277418,0.7764167145030527,0.8287512556983316,0.786868944309917,0.7659574468085106,0.0032653061224489793
best_single,out_of_distribution,SPI1,0.837836,0.8367121147980998,0.8124188208929546,0.8588144558837064,0.8403323849521854,0.856655290102389,0.005946599066549789
DNABERT,out_of_distribution,SPI1,0.8030520000000001,0.8021405213074528,0.7744141714126022,0.8260092063112737,0.7946310552457959,0.764525993883792,0.0032394749459007683
HetMoE,out_of_distribution,SP2,0.8860079999999999,0.8858589543627124,0.8648591486717007,0.9061038058215254,0.890435796566288,0.9191176470588235,0.011247075760302323
static_mean,out_of_distribution,SP2,0.756732,0.7567360260014513,0.7268324392337241,0.788557753388554,0.7331287726527828,0.7440476190476191,0.0029014437584141874
best_single,out_of_distribution,SP2,0.6871559999999999,0.6865280233369258,0.6543564985103729,0.7174740493825665,0.6995855538196938,0.6891891891891891,0.002214695153725899
DNABERT,out_of_distribution,SP2,0.7904519999999999,0.7903471001905708,0.7634376800835891,0.8174558925625661,0.7780653028010336,0.7924528301886793,0.0038074517269513185
HetMoE,out_of_distribution,YY1,0.8462560000000001,0.8464931660157834,0.8228797311773108,0.8712255459621105,0.8593575231744347,0.8971631205673759,0.00865726799890501
static_mean,out_of_distribution,YY1,0.8172200000000001,0.8181875703683988,0.7910412536932416,0.8433439532885412,0.8081358927913428,0.8389261744966443,0.005186506783950873
best_single,out_of_distribution,YY1,0.8291639999999999,0.8298372548315913,0.804358511039965,0.8520973661736574,0.839354067472466,0.9035714285714286,0.009292587967384119
DNABERT,out_of_distribution,YY1,0.8397080000000001,0.8403858731718626,0.8151643534274323,0.8632876126764611,0.8312716505787774,0.8771929824561403,0.007099247479767144
HetMoE,out_of_distribution,ZNF143,0.8519999999999999,0.8521452598020054,0.8280119678757081,0.8737683586711099,0.8456221635319782,0.8807017543859649,0.007335534967998363
static_mean,out_of_distribution,ZNF143,0.8088679999999999,0.8086683508959343,0.7809959014618458,0.8331864278367146,0.7785143891588622,0.8057324840764332,0.004134527389201203
best_single,out_of_distribution,ZNF143,0.806588,0.8067619855034988,0.7778978092203102,0.8306654469745973,0.7873658452640026,0.796923076923077,0.003912800447177194
DNABERT,out_of_distribution,ZNF143,0.813168,0.8132291510502845,0.7846950318138405,0.83815083568792,0.7710773445875726,0.8070739549839229,0.004170058646641525
HetMoE,out_of_distribution,REST,0.744644,0.744010323681933,0.7133569808513106,0.7731141155773573,0.732703255458783,0.7228571428571429,0.0026040594507801885
