model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
best_single,out_of_distribution,NRF1,0.7654759999999998,0.7654298613300037,0.7373169631289945,0.7943697781804773,0.7630042097749425,0.7716049382716049,0.003370362381363245
DNABERT,out_of_distribution,NRF1,0.7690800000000001,0.7685927752287905,0.7395640969293382,0.797733377350379,0.7781539954965602,0.7968253968253968,0.0039104491563712275
HetMoE,out_of_distribution,HNF4A,0.825876,0.825678880652016,0.7992069066746492,0.8503681736189612,0.796229210772855,0.8064516129032258,0.004153513872736335
static_mean,out_of_distribution,HNF4A,0.678068,0.677736151102124,0.6427096296194639,0.7085314033220563,0.6248865562279049,0.6476683937823834,0.0018366957109481757
best_single,out_of_distribution,HNF4A,0.5486200000000001,0.5487188756932491,0.512466990933001,0.5836997427884261,0.5636129544675686,0.5274261603375527,0.0011159418996009392
DNABERT,out_of_distribution,HNF4A,0.7128359999999999,0.7124772057011843,0.6821515160973397,0.74243991500006,0.6913137660792696,0.6914600550964187,0.002238293546402233
HetMoE,out_of_distribution,TCF7L2,0.706564,0.7066014152701718,0.6757513803577397,0.7382640247769682,0.6754993525611614,0.6728723404255319,0.0020547388938520266
static_mean,out_of_distribution,TCF7L2,0.68128,0.6811461354853078,0.6480862203712919,0.7140517203687929,0.6602841020059831,0.6469072164948454,0.0018305935207199849
best_single,out_of_distribution,TCF7L2,0.6409079999999999,0.6407806540995027,0.6063782295985468,0.6768019818643757,0.63591198003156,0.5957446808510638,0.0014729864800883791
DNABERT,out_of_distribution,TCF7L2,0.771792,0.7719419441315194,0.7431471628855573,0.800079445510862,0.7705523593653132,0.7716049382716049,0.003370362381363245
HetMoE,out_of_distribution,ZBTB33,0.6446519999999999,0.6435804647335897,0.6071758826677539,0.6771184037886188,0.6785236572739517,0.6290726817042607,0.0016947664800848062
static_mean,out_of_distribution,ZBTB33,0.6333639999999998,0.6321148118738876,0.5951930965527016,0.6649560045508804,0.6501804814200124,0.6,0.0014992503748125937
best_single,out_of_distribution,ZBTB33,0.690474,0.6895903407477003,0.6554599477330358,0.7226196208053335,0.7143706461095316,0.6811989100817438,0.002134325937182519
DNABERT,out_of_distribution,ZBTB33,0.6962,0.695058833082341,0.6592940630808453,0.7278601775967071,0.7219812067315373,0.7288629737609329,0.002683641594297798
HetMoE,out_of_distribution,POLR2A,0.6403519999999999,0.6402184893326756,0.6065013194382849,0.6743267300602134,0.634904484216751,0.6197530864197531,0.0016288441695814975
static_mean,out_of_distribution,POLR2A,0.6296839999999999,0.6294248574701583,0.5942727055612674,0.6636869795187461,0.6355663792151207,0.6047619047619047,0.0015293097634988678
best_single,out_of_distribution,POLR2A,0.6517499999999999,0.6517120287891305,0.6179320333209346,0.6854633734143134,0.659969900597618,0.6631299734748011,0.001966599277864745
DNABERT,out_of_distribution,POLR2A,0.73824,0.7378956644329233,0.7088190605472033,0.7658165326981992,0.7625021993065335,0.7575757575757576,0.0031183734564051387
HetMoE,out_of_distribution,EP300,0.9032039999999999,0.9033162396427397,0.8829894034329537,0.9217450970981177,0.9045731997552956,0.946969696969697,0.017561112672098905
static_mean,out_of_distribution,EP300,0.894552,0.8947293897504066,0.8757216352025978,0.9136737249425047,0.8881215280069622,0.911660777385159,0.010224705742480087
best_single,out_of_distribution,EP300,0.806108,0.805701137420756,0.779803353510338,0.8315604004591596,0.7951827579080181,0.8305647840531561,0.004882907869294323
DNABERT,out_of_distribution,EP300,0.883224,0.8838543809659075,0.8621458226689478,0.9020580065292396,0.8847302742723675,0.9071428571428571,0.00968430684764374
HetMoE,out_of_distribution,EZH2,0.634656,0.634826733588013,0.6001458398703667,0.6668440457990509,0.614322561593171,0.625,0.0016655562958027984
static_mean,out_of_distribution,EZH2,0.615416,0.61534267816353,0.5792716758758866,0.6468987632061769,0.5992992420639432,0.5827505827505828,0.0013960942866237415
best_single,out_of_distribution,EZH2,0.599792,0.5999433336712005,0.5647528576460041,0.6347011638703893,0.5934477343393155,0.6150121065375302,0.0015965303749332159
DNABERT,out_of_distribution,EZH2,0.716224,0.7162694614840228,0.6848285413531012,0.7460037930524189,0.7150394258170429,0.704225352112676,0.0023776689333777166
HetMoE,out_of_distribution,TAF1,0.736288,0.7359523508302314,0.7036035205220013,0.7661272425188794,0.7438253929184692,0.755223880597015,0.003078945126626182
static_mean,out_of_distribution,TAF1,0.7070800000000002,0.7066878065847416,0.6739043012991385,0.7358121826038596,0.7181404595692257,0.7163323782234957,0.002521406743250194
best_single,out_of_distribution,TAF1,0.71683,0.7166346629477378,0.682012454746563,0.74851552251057,0.7312005886081059,0.7426900584795322,0.0028809291563641312
DNABERT,out_of_distribution,TAF1,0.8005,0.8001343852235497,0.772500893639016,0.8257334690045649,0.8084738894536008,0.847457627118644,0.005530361685654243
HetMoE,out_of_distribution,RBBP5,0.614952,0.6148797120859959,0.5788289434449322,0.648806210193344,0.6131902947093077,0.6067961165048543,0.001542372044815162
static_mean,out_of_distribution,RBBP5,0.604888,0.6049002085711088,0.5676442894818582,0.6386066502523405,0.6205134741494694,0.589622641509434,0.0014361543233989754
best_single,out_of_distribution,RBBP5,0.632744,0.6328462276127615,0.5986273761757783,0.6680621950236534,0.6622657660862471,0.6494845360824743,0.001851362073525522
DNABERT,out_of_distribution,RBBP5,0.7183679999999999,0.7180467778689531,0.6841950542878967,0.7481459342688377,0.7299095289384455,0.7082152974504249,0.0024237253628316873
HetMoE,out_of_distribution,SAP30,0.5992999999999999,0.5995162010473117,0.5643595626726257,0.636042775465653,0.6111158538090946,0.5662921348314607,0.001305300452193371
static_mean,out_of_distribution,SAP30,0.59038,0.5904623403209303,0.5542747630129182,0.6239516826719156,0.5825631689195436,0.5637583892617449,0.0012919300512157985
best_single,out_of_distribution,SAP30,0.6489079999999999,0.6492434224178328,0.6131308559041271,0.6820484482545751,0.6676757320800845,0.6452442159383034,0.0018173524577700868
DNABERT,out_of_distribution,SAP30,0.7009320000000001,0.7008407306627555,0.670276993852933,0.7320010384040316,0.6847751486598004,0.6510416666666666,0.001864057979659399
